Country Name,Country Code,Indicator Name,2022,2023,2024
"Macao SAR, China",MAC,GDP per capita (current US$),36909.95641,67476.52908,73046.88903
St. Martin (French part),MAF,GDP per capita (current US$),,,
Morocco,MAR,GDP per capita (current US$),3455.39624,3771.446289,3993.387451
Monaco,MCO,GDP per capita (current US$),226052.0019,256580.5151,
Moldova,MDA,GDP per capita (current US$),5744.296184,6799.585946,7617.516131
Madagascar,MDG,GDP per capita (current US$),503.5145335,508.7184277,544.9973027
Maldives,MDV,GDP per capita (current US$),11786.00915,12530.36024,13215.53536
"Middle East, North Africa, Afghanistan & Pakistan",MEA,GDP per capita (current US$),6383.398393,6063.052477,6180.858784
Mexico,MEX,GDP per capita (current US$),11402.14104,13826.13066,14157.94458
Marshall Islands,MHL,GDP per capita (current US$),6322.828555,6678.342391,7466.651865
Middle income,MIC,GDP per capita (current US$),6205.545998,6347.753919,6524.257358
North Macedonia,MKD,GDP per capita (current US$),7606.237525,8624.284002,9310.0279
Mali,MLI,GDP per capita (current US$),969.7222056,1035.862426,1086.176218
Malta,MLT,GDP per capita (current US$),36224.282,40182.43139,42347.30739
Myanmar,MMR,GDP per capita (current US$),1158.05005,1233.196662,1359.259614
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,GDP per capita (current US$),2975.955663,2797.407307,2903.59794
Montenegro,MNE,GDP per capita (current US$),9990.204446,12077.37471,12935.45227
Mongolia,MNG,GDP per capita (current US$),4993.514875,5838.631081,6691.482098
Northern Mariana Islands,MNP,GDP per capita (current US$),23785.75459,,
Mozambique,MOZ,GDP per capita (current US$),578.2516638,622.9856193,647.2857995
Mauritania,MRT,GDP per capita (current US$),1960.352401,2120.823184,2082.783744
Mauritius,MUS,GDP per capita (current US$),10223.78823,11182.18657,11871.73368
Malawi,MWI,GDP per capita (current US$),604.2697512,602.3436198,508.3712735
Malaysia,MYS,GDP per capita (current US$),11748.09193,11379.08519,11867.25864
North America,NAC,GDP per capita (current US$),75613.45071,79326.90766,82406.47887
Namibia,NAM,GDP per capita (current US$),4349.799085,4187.605004,4413.127442
New Caledonia,NCL,GDP per capita (current US$),33516.36309,,
Niger,NER,GDP per capita (current US$),609.7451477,638.3360807,722.7486503
Nigeria,NGA,GDP per capita (current US$),2139.374785,1596.636961,806.9456951
Nicaragua,NIC,GDP per capita (current US$),2322.89054,2609.444921,2847.539663
Netherlands,NLD,GDP per capita (current US$),59123.31856,64572.00596,68218.7261
Norway,NOR,GDP per capita (current US$),109269.5206,87497.32893,86809.72469
Nepal,NPL,GDP per capita (current US$),1385.910663,1382.330558,1447.310045
Nauru,NRU,GDP per capita (current US$),12896.4341,12754.18676,13421.83306
New Zealand,NZL,GDP per capita (current US$),48760.03819,48654.90423,48747.01369
OECD members,OED,GDP per capita (current US$),44046.42625,46672.51399,48454.69754
Oman,OMN,GDP per capita (current US$),23223.58294,20972.48309,20248.41681
Other small states,OSS,GDP per capita (current US$),14298.10282,15151.46649,15867.67335
Pakistan,PAK,GDP per capita (current US$),1538.322813,1365.169274,1484.749859
Panama,PAN,GDP per capita (current US$),17332.43607,18686.4051,19102.85219
Peru,PER,GDP per capita (current US$),7350.630343,7887.541859,8452.37167
Philippines,PHL,GDP per capita (current US$),3548.069306,3804.082741,3984.831539
Palau,PLW,GDP per capita (current US$),14392.20114,15899.42461,
Papua New Guinea,PNG,GDP per capita (current US$),3102.289686,2966.068304,3076.487862
Poland,POL,GDP per capita (current US$),18891.21353,22145.26431,25022.67164
Pre-demographic dividend,PRE,GDP per capita (current US$),1577.716271,1416.33353,1290.200001
Puerto Rico (US),PRI,GDP per capita (current US$),35353.68216,36948.40364,39285.01746
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),,,
Portugal,PRT,GDP per capita (current US$),24620.51956,27386.29206,28844.49792
Paraguay,PRY,GDP per capita (current US$),6205.625954,6299.990265,6416.09709
West Bank and Gaza,PSE,GDP per capita (current US$),3799.95527,3455.028529,2592.305912
Pacific island small states,PSS,GDP per capita (current US$),3888.62868,4153.197066,4399.411054
Post-demographic dividend,PST,GDP per capita (current US$),51102.35627,53961.34181,55865.78654
French Polynesia,PYF,GDP per capita (current US$),20738.65,22774.1419,
Qatar,QAT,GDP per capita (current US$),88701.46335,80195.87465,76275.90768
Romania,ROU,GDP per capita (current US$),15557.88262,18404.27309,20072.40792
Russian Federation,RUS,GDP per capita (current US$),15619.61426,14159.3877,14889.01855
Rwanda,RWA,GDP per capita (current US$),975.469324,1027.034468,999.6545614
South Asia,SAS,GDP per capita (current US$),2385.083416,2532.375601,2691.645563
Saudi Arabia,SAU,GDP per capita (current US$),38510.22762,36156.84834,35057.22523
Sudan,SDN,GDP per capita (current US$),1046.240845,797.2834473,989.3128662
Senegal,SEN,GDP per capita (current US$),1574.028106,1698.033873,1743.988884
Singapore,SGP,GDP per capita (current US$),90299.06946,85412.23035,90674.06663
Solomon Islands,SLB,GDP per capita (current US$),2005.413993,2076.107688,2149.379573
Sierra Leone,SLE,GDP per capita (current US$),860.7745909,757.8486806,873.3885752
El Salvador,SLV,GDP per capita (current US$),5074.602102,5365.444914,5579.659692
San Marino,SMR,GDP per capita (current US$),54264.5705,,
"Somalia, Fed. Rep.",SOM,GDP per capita (current US$),573.1280925,597.4588546,636.9834776
Serbia,SRB,GDP per capita (current US$),10022.96885,12281.50585,13523.72468
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),1772.655354,1614.139025,1506.228537
South Sudan,SSD,GDP per capita (current US$),,,
Sub-Saharan Africa,SSF,GDP per capita (current US$),1696.439993,1544.759115,1441.320385
Small states,SST,GDP per capita (current US$),13598.1108,14222.96605,15291.69577
Sao Tome and Principe,STP,GDP per capita (current US$),2389.737298,2940.933529,3244.828997
Suriname,SUR,GDP per capita (current US$),6084.438767,5494.074094,7430.702192
Slovak Republic,SVK,GDP per capita (current US$),21334.6011,24673.5483,26147.90284
Slovenia,SVN,GDP per capita (current US$),28373.83823,32610.11092,34089.35277
Sweden,SWE,GDP per capita (current US$),55296.93715,55567.08901,57723.2345
Eswatini,SWZ,GDP per capita (current US$),3889.65277,3741.690107,3936.109692
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),36476.63008,38077.54449,40027.9176
Seychelles,SYC,GDP per capita (current US$),16836.67219,18262.71158,17858.82264
Syrian Arab Republic,SYR,GDP per capita (current US$),1051.671496,847.3727234,
Turks and Caicos Islands,TCA,GDP per capita (current US$),31280.5418,35470.21516,37506.77984
Chad,TCD,GDP per capita (current US$),966.0364683,989.058529,1016.088807
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),10220.3605,10239.67433,10513.97557
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),11410.44153,12106.92409,13257.56545
Togo,TGO,GDP per capita (current US$),898.7581544,985.6975126,1043.140929
Thailand,THA,GDP per capita (current US$),6909.352818,7195.101309,7345.13569
Tajikistan,TJK,GDP per capita (current US$),1052.179495,1178.479901,1341.20229
Turkmenistan,TKM,GDP per capita (current US$),8156.35212,8232.65226,8571.607029
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),9482.776399,10593.11643,10784.31715
Timor-Leste,TLS,GDP per capita (current US$),2343.245234,1502.519645,1343.14886
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,GDP per capita (current US$),2970.114288,2792.714575,2905.833772
Tonga,TON,GDP per capita (current US$),4933.074669,4863.763846,
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),2385.083416,2532.375601,2691.645563
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),1696.439993,1544.759115,1441.320385
Trinidad and Tobago,TTO,GDP per capita (current US$),20874.37683,18639.25924,19314.71634
Tunisia,TUN,GDP per capita (current US$),3708.848124,3950.375342,4350.371797
Turkiye,TUR,GDP per capita (current US$),10674.50416,13105.6585,15473.28726
Tuvalu,TUV,GDP per capita (current US$),5911.327271,6344.775019,
Tanzania,TZA,GDP per capita (current US$),1207.853027,1224.489624,1185.745483
Uganda,UGA,GDP per capita (current US$),963.0673142,1002.309139,1072.713698
Ukraine,UKR,GDP per capita (current US$),4199.670898,5139.598145,5389.473145
Upper middle income,UMC,GDP per capita (current US$),10310.86688,10631.31674,10961.81845
Uruguay,URY,GDP per capita (current US$),20818.61461,23019.42216,23906.5133
United States,USA,GDP per capita (current US$),77860.91129,82304.62043,85809.90038
Uzbekistan,UZB,GDP per capita (current US$),2578.666894,2878.968793,3161.700106
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),9693.558678,10582.36567,11501.22652
"Venezuela, RB",VEN,GDP per capita (current US$),,,
British Virgin Islands,VGB,GDP per capita (current US$),,,
Virgin Islands (U.S.),VIR,GDP per capita (current US$),44320.90919,,
Viet Nam,VNM,GDP per capita (current US$),4147.697772,4323.35032,4717.290287
Vanuatu,VUT,GDP per capita (current US$),3292.341088,3515.236336,3542.810716
World,WLD,GDP per capita (current US$),12819.74484,13259.70987,13663.99246
Samoa,WSM,GDP per capita (current US$),3869.466395,4330.178405,4898.771408
Kosovo,XKX,GDP per capita (current US$),5290.947472,6221.203652,7299.434981
"Yemen, Rep.",YEM,GDP per capita (current US$),,,
South Africa,ZAF,GDP per capita (current US$),6523.410978,6022.542542,6253.371582
Zambia,ZMB,GDP per capita (current US$),1447.123101,1330.727806,1235.084665
Zimbabwe,ZWE,GDP per capita (current US$),2040.546587,2156.034093,2656.409377
